question_id,n_candidates,recall@1,recall@5,recall@8,recall@10,precision@1,precision@5,precision@8,precision@10,rr
SR-01,35,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.2,0.16666666666666666
SR-02,43,0.0,1.0,1.0,1.0,0.0,0.4,0.375,0.3,0.5
SR-03,43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1111111111111111
SR-04,46,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.4,1.0
SR-05,39,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.2,0.25
SR-06,44,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.1,0.3333333333333333
SR-07,42,1.0,1.0,1.0,1.0,1.0,0.6,0.375,0.4,1.0
SR-08,43,0.0,1.0,1.0,1.0,0.0,0.2,0.25,0.2,0.2
SR-09,45,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.4,1.0
SR-10,44,0.0,1.0,1.0,1.0,0.0,0.4,0.5,0.4,0.5
SR-11,42,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.2,1.0
SR-12,35,1.0,1.0,1.0,1.0,1.0,0.6,0.625,0.5,1.0
SR-13,40,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.2,1.0
SR-14,47,0.0,1.0,1.0,1.0,0.0,0.4,0.375,0.3,0.25
SR-15,45,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.5,1.0
D-01,43,1.0,1.0,1.0,1.0,1.0,0.2,0.125,0.2,1.0
D-02,48,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.1,0.5
D-03,42,0.0,1.0,1.0,1.0,0.0,0.2,0.25,0.3,0.2
D-04,38,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.5,1.0
D-05,41,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.5,1.0
D-06,41,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.1,0.5
D-07,40,1.0,1.0,1.0,1.0,1.0,0.4,0.25,0.4,1.0
D-08,36,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.2,1.0
D-09,48,0.0,1.0,1.0,1.0,0.0,0.4,0.5,0.4,0.5
D-10,40,1.0,1.0,1.0,1.0,1.0,0.2,0.125,0.2,1.0
D-11,38,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.5,1.0
D-12,42,0.0,1.0,1.0,1.0,0.0,0.4,0.375,0.3,0.5
D-13,34,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.5,1.0
D-14,30,0.0,1.0,1.0,1.0,0.0,0.2,0.25,0.3,0.3333333333333333
D-15,42,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.6,1.0
L1,31,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.4,1.0
L2,37,1.0,1.0,1.0,1.0,1.0,0.4,0.375,0.3,1.0
L3,40,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.4,1.0
L4,38,0.0,1.0,1.0,1.0,0.0,0.2,0.375,0.3,0.5
L5,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
L6,40,0.0,1.0,1.0,1.0,0.0,0.2,0.375,0.3,0.25
L7,40,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.1,0.5
L8,34,1.0,1.0,1.0,1.0,1.0,0.8,0.625,0.7,1.0
L9,41,0.0,1.0,1.0,1.0,0.0,0.4,0.375,0.4,0.5
L10,50,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.1,0.2
L11,38,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.5,1.0
L12,26,1.0,1.0,1.0,1.0,1.0,0.8,0.75,0.6,1.0
B1,40,0.0,1.0,1.0,1.0,0.0,0.4,0.5,0.5,0.5
B2,31,0.0,1.0,1.0,1.0,0.0,0.4,0.25,0.2,0.3333333333333333
B3,48,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.1,0.5
B4,37,0.0,1.0,1.0,1.0,0.0,0.6,0.5,0.5,0.5
B5,47,1.0,1.0,1.0,1.0,1.0,0.4,0.375,0.3,1.0
B6,41,0.0,1.0,1.0,1.0,0.0,0.2,0.375,0.3,0.2
B7,47,1.0,1.0,1.0,1.0,1.0,0.8,0.625,0.5,1.0
B8,37,0.0,1.0,1.0,1.0,0.0,0.2,0.25,0.2,0.2
B9,46,1.0,1.0,1.0,1.0,1.0,0.8,0.625,0.6,1.0
B10,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B11,37,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.4,1.0
B12,43,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.2,1.0
VIT-01,37,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.5,1.0
VIT-02,41,0.0,1.0,1.0,1.0,0.0,0.4,0.375,0.3,0.5
VIT-03,30,0.0,1.0,1.0,1.0,0.0,0.2,0.25,0.4,0.5
VIT-04,42,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.1,0.5
VIT-05,36,0.0,1.0,1.0,1.0,0.0,0.4,0.375,0.3,0.25
VIT-06,35,0.0,1.0,1.0,1.0,0.0,0.4,0.25,0.2,0.3333333333333333
VIT-07,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIT-08,48,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.1,0.2
VIT-09,46,0.0,1.0,1.0,1.0,0.0,0.2,0.25,0.2,0.3333333333333333
VIT-10,36,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.1,0.3333333333333333
VIT-11,44,1.0,1.0,1.0,1.0,1.0,0.6,0.625,0.7,1.0
VIT-12,42,1.0,1.0,1.0,1.0,1.0,0.6,0.75,0.7,1.0
VIT-13,32,0.0,1.0,1.0,1.0,0.0,0.8,0.5,0.4,0.5
VIT-14,43,1.0,1.0,1.0,1.0,1.0,0.8,0.625,0.5,1.0
VIT-15,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLIP-01,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
CLIP-02,42,1.0,1.0,1.0,1.0,1.0,0.4,0.375,0.4,1.0
CLIP-03,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLIP-04,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
CLIP-05,33,0.0,1.0,1.0,1.0,0.0,0.6,0.75,0.7,0.5
