question_id,grade,reason
SR-01,CORRECT,Matches GT: on-demand retrieval + self-reflection to improve quality/factuality.
SR-02,PARTIAL,Names reflection tokens but omits the retrieval-vs-critique token distinction GT specifically asks for.
SR-03,CORRECT,Retrieve-token mechanism matches GT and adds accurate ISREL/ISSUP detail.
SR-04,CORRECT,ISREL/ISSUP/ISUSE all correctly defined, matches GT.
SR-05,PARTIAL,"Says ""same LM as generator"" (true) but never names Llama 2-7B as GT does, so incomplete."
SR-06,CORRECT,Captures on-demand vs fixed-retrieval distinction correctly despite extra verbosity.
SR-07,PARTIAL,Captures general reflection-token theme but misses the specific training-data-construction process GT asks about.
SR-08,CORRECT,Matches GT: reflection tokens inserted by critic offline, generator trained with standard next-token objective.
SR-09,PARTIAL,Describes a plausible but unsupported "keep retrieving until supported" loop instead of GT's ISREL/ISSUP/ISUSE ranking-based selection mechanism.
SR-10,INCORRECT,Misattributes to RAG.pdf and refuses to give Figure 3(a) numbers that GT states explicitly -- known retrieval/page-localization failure.
SR-11,CORRECT,Matches GT directly.
SR-12,INCORRECT,"Asserts ""no significant improvements on PubHealth"" which contradicts GT's ""generally improves ... on PopQA, PubHealth, and ASQA""."
SR-13,CORRECT,Matches GT well.
SR-14,CORRECT,Matches GT's reasoning about reflection-based evaluation vs pure copying.
SR-15,INCORRECT,Vague/garbled; omits the actual S&P/ISREL/ISSUP percentages GT reports and includes a nonsensical fragment ("ISUSE evaluation is 5").
D-01,CORRECT,Matches GT.
D-02,CORRECT,All three problems (cost, inflexibility, OCR-error propagation) correctly captured.
D-03,PARTIAL,"Correct core fact buried inside an off-topic templated dump with many ""Not specified in document"" fields not relevant to the question asked."
D-04,CORRECT,Matches GT verbatim (verification layer's UNSUPPORTED label on this is a known NLI false negative, documented separately in Section 6.5 -- answer itself is correct).
D-05,CORRECT,Matches GT (BART decoder).
D-06,CORRECT,"Correctly describes Swin encoder to embeddings, textual decoder to token sequence, JSON structuring."
D-07,CORRECT,Matches GT.
D-08,CORRECT,Matches GT.
D-09,PARTIAL,"Correctly states SynthDoG generates pre-training samples but misses GT's key point (reduces dependence on large-scale real data, eases multilingual extension); adds unverified specifics instead."
D-10,INCORRECT,"Numbers (91M/0.6s/0.8%) do not match GT's reported figures (143M vs 179M, 0.9 vs 1.2 sec, 91% vs 82%) and the answer wrongly claims the comparison values are unavailable."
D-11,CORRECT,"Correctly describes the Figure 3 flow: visual encoder to embeddings, decoder to token sequence, structured JSON output."
D-12,INCORRECT,"Reverses GT's example: GT attributes the phone-number error to LayoutLMv2's OCR pipeline, current answer wrongly attributes an ""OCR error"" to OCR-free Donut itself -- self-contradictory and factually backwards."
D-13,INCORRECT,"Numbers (943 vs 540) do not match GT's actual Table 3 ANLS scores (67.5/72.1 Donut, 78.1 LayoutLMv2) and the answer wrongly claims the DocVQA test-set score is unavailable."
D-14,CORRECT,Matches GT.
D-15,CORRECT,Matches GT reasoning.
L1,INCORRECT,"Answers a different question (CNN/Faster-R-CNN backbone avoidance, which is L3's topic) instead of the actual pre-training-objective-mismatch problem GT describes."
