question_id,document,question_type,question,document_scope,explicit_figure_query,present_in_final,figure_diagnostic,retrieved_count_stage1,final_context_docs,image_count,error,elapsed_sec,rag_answer,ground_truth_answer
SR-05,SELF-RAG,Basic factual / retrieval,What language model was used to initialize the critic model during SELF-RAG training?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,9,3,False,68.8, The language model used to initialize the critic model during SELF-RAG training was the same one as the generator LM.,"The critic was initialized with the same language model as the generator, specifically Llama 2-7B."
SR-11,SELF-RAG,Figure / table understanding,"According to Figure 3(c), what happens to retrieval frequency when the retrieval threshold is increased?",None,True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,10,2,False,44.5," The retrieval frequency dramatically changes when the retrieval threshold is increased, as shown in Figure 3(c). The model retrieves less as the threshold increases.","Increasing the retrieval threshold δ decreases retrieval frequency. The paper notes that larger δ means less retrieval; reducing retrieval causes performance deterioration, with the deterioration smaller on PubHealth and larger on PopQA."
D-08,Donut,Architecture / reasoning,How does Donut's pre-training process teach the model to read text from document images?,['Donut.pdf'],False,,,8,11,3,False,75.4," Donut's pre-training process teaches the model to read text from document images by predicting the next words by conditioning jointly on the image and previous text contexts. During the pre-training phase, Donut learns how to read the texts using a Transformer-based visual encoder and is pre-trained with document images and their text annotations. The pre-training objective is simple, allowing for domain and language flexibility, and can be realized straightforwardly by pre-training with synthe","During pre-training, Donut learns to read document text by predicting the next word while jointly conditioning on the document image and the preceding text context. It is pre-trained on document images and their text annotations, using text reading as the pre-training objective."
D-09,Donut,Architecture / reasoning,What is the purpose of the SynthDoG synthetic document generator?,None,False,,,8,10,3,False,86.1, The SynthDoG synthetic document generator is used to generate samples for pre-training a model to understand document images. These samples are generated from multi-lingual text corpora from Wikipedia and rendered using a pipeline that follows Yim et al. [67]. The generator mimics real documents using image rendering techniques and applies a heuristic rule-based pattern generator to generate text regions. The text content and style are prepared from the multi-lingual text corpora and Noto fonts,SynthDoG is a synthetic document-image generator used to create synthetic training data for Donut's pre-training. It reduces dependence on large-scale real document images and enables easier domain and multilingual extension; the paper shows synthetic data are useful for text-reading pre-training and multilingual settings.
D-13,Donut,Table / numerical reasoning,"According to Table 3, what are the ANLS scores of Donut on the DocVQA test set and the handwritten subset, and how do they compare with LayoutLMv2?",['Donut.pdf'],False,,,8,10,4,False,72.8," The ANLS score of Donut on the DocVQA test set is not specified in the provided documents. However, on the handwritten subset, Donut achieves a higher score compared to LayoutLMv2. Specifically, Donut's score is 943, while LayoutLMv2's score is 540.","In Table 3, Donut achieves **67.5 ANLS** on the DocVQA test set and **72.1 ANLS** on the handwritten subset. LayoutLMv2 achieves **78.1 ANLS** on the DocVQA test set; the handwritten-subset value is **not reported (n/a)** for LayoutLMv2. Thus Donut is below LayoutLMv2 on the reported general DocVQA test set but has a reported handwritten score where LayoutLMv2 has no handwritten score in this table."
D-14,Donut,Table / numerical reasoning,"According to Figure 7, how does increasing the input image resolution affect Donut's performance, particularly on DocVQA?",['Donut.pdf'],True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,9,1,False,50.6," Increasing the input image resolution in Donut affects its performance on DocVQA by causing the performance to grow rapidly. This is because larger images with many tiny texts are used in DocVQA, and a larger input size requires more computational resources. However, the specific performance values for different resolutions are not provided in the context.","Figure 7(c) shows that Donut's performance increases rapidly as input image resolution increases. The improvement is particularly clear on DocVQA, whose images contain many tiny texts. However, larger input resolutions increase computational cost, creating a speed/accuracy trade-off."
L2,LayoutLMv3,Core understanding,"What are the three pre-training objectives used by LayoutLMv3, and what does each objective learn?",['LayoutLMv3.pdf'],False,,,8,11,3,False,65.5," The three pre-training objectives used by LayoutLMv3 are:

1. Masked Language Modeling (MLM): This objective learns the language representation by masking 30% of text tokens and predicting them from the context.

2. Masked Image Modeling (MIM): This objective learns the image representation by masking out a portion of input image patches and reconstructing them in the output. This helps in preserving the image information until the last layer of the model.

3. Word-Patch Alignment (WPA): This o","LayoutLMv3 uses three objectives: (1) Masked Language Modeling (MLM), which masks text tokens and trains the model to reconstruct them; (2) Masked Image Modeling (MIM), which masks image patches and trains the model to reconstruct their discrete visual tokens obtained from a discrete VAE; and (3) Word-Patch Alignment (WPA), which predicts whether the image patch corresponding to a text word is masked, thereby learning fine-grained cross-modal alignment."
L7,LayoutLMv3,Architecture / layout understanding,"According to Figure 3, how are the text tokens and image patches combined before being processed by the multimodal Transformer?",None,True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,9,2,False,53.0," The text tokens and image patches are combined by taking the linear projection of patches and word tokens as inputs and encoding them into contextualized vector representations. The image patches are first resized and split into a sequence of uniform patches, which are then linearly projected to D dimensions and flattened into a sequence of vectors. The text tokens are embedded using word embedding layers. The resulting sequences of text and image vectors are then fed into the multimodal Transf","LayoutLMv3 forms a text embedding sequence Y and an image embedding sequence X, then concatenates the two sequences before the multimodal Transformer. The text side contains word/position information, while the image side contains linearly projected image-patch embeddings; the Transformer jointly encodes the combined sequence into contextualized text-and-image representations."
L12,LayoutLMv3,Experimental / table reasoning,"According to the experimental results, which five benchmark datasets are used to evaluate LayoutLMv3, and what type of Document AI task does each dataset represent?",['LayoutLMv3.pdf'],False,,,8,11,3,False,67.2," The five benchmark datasets used to evaluate LayoutLMv3 are:

1. RVL-CDIP: This dataset is used for the document image classification task, which aims to predict the category of document images.

2. PubLayNet: This dataset is used for document layout understanding tasks, containing research paper images annotated with bounding boxes and polygonal segmentation across five document layout categories: text, title, list, figure, and table.

3. DocVQA: This dataset is used for the document visual qu",The five benchmarks are: FUNSD for form understanding; CORD for receipt understanding; DocVQA for document visual question answering; RVL-CDIP for document image classification; and PubLayNet for document layout analysis.
B2,BLIP-2,Core understanding,What are the two stages of BLIP-2's pre-training procedure?,['BLIP-2.pdf'],False,,,8,10,3,False,54.9," The two stages of BLIP-2's pre-training procedure are:

1. First stage: Pre-training for 250k steps with a batch size of 2320/1680 for ViT-L/ViT-g and a batch size of 1920/1520 for OPT/FlanT5.

2. Second stage: Pre-training for 80k steps with the same batch sizes as the first stage.","The two stages are: (1) vision-language representation learning with a frozen image encoder, where the Q-Former learns visual representations relevant to text; and (2) vision-to-language generative learning with a frozen LLM, where the Q-Former output is connected to the LLM and trained so its visual representation can be interpreted by the LLM."
