question_id,document,question_type,question,document_scope,explicit_figure_query,present_in_final,figure_diagnostic,retrieved_count_stage1,final_context_docs,verification_units,verification_supported,verification_partial,verification_unsupported,verification_unknown,groundedness_ratio,image_count,error,elapsed_sec,rag_answer,ground_truth_answer
SR-01,SELF-RAG,Basic factual / retrieval,What is the main goal of the SELF-RAG framework?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,10,4,4,0,0,0,1.00,5,False,89.2," The main goal of the SELF-RAG framework is to enhance the quality and factuality of Large Language Models (LLMs) through retrieval on demand and self-reflection. It trains an LM to learn to retrieve, generate, and critique text passages and its own generation by predicting the next tokens from its original vocabulary as well as newly added special tokens, called reflection tokens. SELF-RAG further enables the tailoring of LM behaviors at test time by leveraging reflection tokens. This is demons","SELF-RAG aims to improve the quality and factuality of language-model generation through on-demand retrieval and self-reflection. It trains an LM to decide when retrieval is useful, retrieve passages when needed, generate responses, and critique both retrieved evidence and its own generation using reflection tokens."
SR-02,SELF-RAG,Basic factual / retrieval,"What are the special tokens introduced by SELF-RAG called, and what is their purpose?","['RAG.pdf', 'Self-RAG.pdf']",False,,,8,8,2,1,1,0,0,0.50,4,False,48.9," The special tokens introduced by SELF-RAG are called reflection tokens. Their purpose is to enable the model to learn to retrieve, generate, and critique text passages and its own generation by predicting the next tokens from its original vocabulary as well as these newly added special tokens.","SELF-RAG introduces reflection tokens, divided into retrieval tokens and critique tokens. Retrieval tokens indicate whether retrieval is needed; critique tokens assess retrieved-passage relevance, support for the generated content, and overall response utility."
SR-03,SELF-RAG,Basic factual / retrieval,How does SELF-RAG decide whether retrieval is necessary during generation?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,11,5,2,3,0,0,0.40,3,False,61.5," SELF-RAG decides whether retrieval is necessary during generation by using a special token called ""Retrieve"". If the model determines that the sequence does not require factual grounding or may not be enhanced by knowledge retrieval, the ""Retrieve"" token is set to ""No"". If the model determines that retrieval is necessary, the ""Retrieve"" token is set to ""Yes"". The model then retrieves the top K passages, and for each passage, it further evaluates whether the passage is relevant and predicts ""Rel",SELF-RAG first predicts a Retrieve token from the current input and preceding generation. Retrieval is triggered when the Retrieve=Yes probability meets the chosen threshold; otherwise generation continues without retrieval.
SR-04,SELF-RAG,Basic factual / retrieval,What are the three aspects of retrieved passages that the critic evaluates in the SELF-RAG framework?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,10,4,2,2,0,0,0.50,3,False,60.9," The three aspects of retrieved passages that the critic evaluates in the SELF-RAG framework are:

1. Relevance (ISREL): This evaluation determines if the passage provides useful information to solve the given problem or question.

2. Support (ISSUP): This evaluation determines if all the verification-worthy statements in the generated response are supported by the passage.

3. Utility (ISUSE): This evaluation determines the overall utility of the response, which is a measure of how useful the g","The three critique evaluations are ISREL (whether a retrieved passage is relevant), ISSUP (whether the generated statement is supported by the passage), and ISUSE (the overall usefulness/utility of the response). Strictly, ISUSE evaluates the response rather than the retrieved passage itself."
SR-05,SELF-RAG,Basic factual / retrieval,What language model was used to initialize the critic model during SELF-RAG training?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,9,1,1,0,0,0,1.00,3,False,46.1, The language model used to initialize the critic model during SELF-RAG training was the same one as the generator LM.,"The critic was initialized with the same language model as the generator, specifically Llama 2-7B."
SR-06,SELF-RAG,Architecture / reasoning,How does SELF-RAG differ from conventional RAG systems in deciding when to retrieve documents?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,11,5,4,1,0,0,0.80,3,False,62.5," SELF-RAG differs from conventional RAG systems in deciding when to retrieve documents by incorporating a model (M) that decodes a retrieval token to evaluate the utility of retrieval. If retrieval is not required, the model predicts the next output segment as it does in a standard Language Model (LM). If retrieval is needed, the model generates a critique token to evaluate the retrieved passage's relevance, the next response segment, and another critique token to evaluate if the information in ","Conventional RAG generally retrieves a fixed number of passages regardless of whether retrieval is necessary. SELF-RAG instead decides on demand, using its Retrieve reflection token to determine whether retrieved evidence would help before calling the retriever."
SR-07,SELF-RAG,Architecture / reasoning,Explain the role of the critic model in constructing the training data for the SELF-RAG generator.,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,11,4,2,2,0,0,0.50,4,False,55.1," The critic model in SELF-RAG plays a role in constructing the training data for the generator by predicting reflection tokens. These reflection tokens are used to critique the generated text by the model, helping it to evaluate the quality and factuality of its own generation. The critic model is trained to predict the next tokens from the original vocabulary as well as newly added special tokens, called reflection tokens. This allows the model to self-reflect and improve the quality of its res","The critic creates supervised training data that mimics SELF-RAG inference. It evaluates whether retrieval is needed, judges retrieved passages with ISREL and ISSUP, evaluates overall response utility with ISUSE, and inserts the resulting reflection tokens and retrieved passages into the training examples. The resulting augmented corpus is then used to train the generator."
SR-08,SELF-RAG,Architecture / reasoning,How does the SELF-RAG generator learn to produce both normal text and reflection tokens?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,10,8,7,1,0,0,0.88,3,False,77.9," The SELF-RAG generator learns to produce both normal text and reflection tokens through a training process that involves two models: the critic model (C) and the generator model (M).

1. Training the Critic Model (C): The critic model is trained on a curated corpus with interleaving passages retrieved by a retriever and reflection tokens predicted by the critic model itself. The critic model's goal is to evaluate the utility of retrieved passages and the quality of a given task output.

2. Trai","The generator is trained on a curated corpus whose examples contain normal task text interleaved with retrieved passages and reflection tokens inserted offline by the trained critic. Reflection tokens are added to the model vocabulary and learned with the standard next-token prediction objective, so the generator learns to predict both normal output tokens and reflection tokens itself."
SR-09,SELF-RAG,Architecture / reasoning,What happens after the critic determines that a retrieved passage is relevant to the generated response?,None,False,,,8,10,4,3,1,0,0,0.75,3,False,69.1," After the critic determines that a retrieved passage is relevant to the generated response, the model generates a critique token to evaluate if the information in the response segment is supported by the passage. If the information is supported, the model generates the next response segment. If not, the model may continue to retrieve and evaluate additional passages until a supported response is generated. This process continues until the model generates a response that is deemed useful and sup","After a passage is judged relevant (ISREL), the critic evaluates whether it supports the generated response and predicts ISSUP. The model then uses ISREL, ISSUP, and ISUSE to rank candidate generations and select/guide the output."
SR-10,SELF-RAG,Figure / table understanding,"According to Figure 3(a), how does SELF-RAG perform compared with the No Retriever and No Critic variants on the reported PQA, Med and ASQA metrics?","['RAG.pdf', 'Self-RAG.pdf']",True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,10,2,1,0,1,0,0.50,3,False,53.7," According to the document RAG.pdf [1], SELF-RAG's performance on the PQA, Med, and ASQA metrics is not directly compared with the No Retriever and No Critic variants in Figure 3(a). Instead, Figure 3(a) shows the performance of RAG-Token and RAG-Sequence models as more documents are retrieved, with no specific comparison to other variants.","Figure 3(a) reports SELF-RAG (50k) at PQA 45.5, Med 73.5, and ASQA 32.1. No Retriever scores 43.6, 67.8, and 31.0, while No Critic scores 42.6, 72.0, and 18.1, respectively. Thus SELF-RAG is higher than both ablations on all three reported metrics."
