question_id,document,question_type,question,document_scope,explicit_figure_query,present_in_final,figure_diagnostic,retrieved_count_stage1,final_context_docs,image_count,error,elapsed_sec,rag_answer,ground_truth_answer
SR-01,SELF-RAG,Basic factual / retrieval,What is the main goal of the SELF-RAG framework?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,10,,True,,,"SELF-RAG aims to improve the quality and factuality of language-model generation through on-demand retrieval and self-reflection. It trains an LM to decide when retrieval is useful, retrieve passages when needed, generate responses, and critique both retrieved evidence and its own generation using reflection tokens."
SR-02,SELF-RAG,Basic factual / retrieval,"What are the special tokens introduced by SELF-RAG called, and what is their purpose?","['RAG.pdf', 'Self-RAG.pdf']",False,,,8,8,,True,,,"SELF-RAG introduces reflection tokens, divided into retrieval tokens and critique tokens. Retrieval tokens indicate whether retrieval is needed; critique tokens assess retrieved-passage relevance, support for the generated content, and overall response utility."
SR-03,SELF-RAG,Basic factual / retrieval,How does SELF-RAG decide whether retrieval is necessary during generation?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,11,3,False,93.6," SELF-RAG decides whether retrieval is necessary during generation by using a special token called ""Retrieve."" If the model determines that the sequence does not require factual grounding or may not be enhanced by knowledge retrieval, the Retrieve token is set to ""No."" If the model determines that retrieval is necessary, the Retrieve token is set to ""Yes."" The model then retrieves the top K passages, and for each passage, it evaluates whether the passage is relevant and predicts ""Relevant"" or ""I",SELF-RAG first predicts a Retrieve token from the current input and preceding generation. Retrieval is triggered when the Retrieve=Yes probability meets the chosen threshold; otherwise generation continues without retrieval.
SR-04,SELF-RAG,Basic factual / retrieval,What are the three aspects of retrieved passages that the critic evaluates in the SELF-RAG framework?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,10,3,False,61.2," The three aspects of retrieved passages that the critic evaluates in the SELF-RAG framework are:

1. Relevance (ISREL): Determines if the passage provides useful information to solve the given problem or question.
2. Support (ISSUP): Evaluates if all the verification-worthy statements in the generated response are supported by the passage.
3. Utility (ISUSE): Assesses the overall usefulness of the response generated from the passage.

These evaluations help SELF-RAG to generate more accurate an","The three critique evaluations are ISREL (whether a retrieved passage is relevant), ISSUP (whether the generated statement is supported by the passage), and ISUSE (the overall usefulness/utility of the response). Strictly, ISUSE evaluates the response rather than the retrieved passage itself."
SR-05,SELF-RAG,Basic factual / retrieval,What language model was used to initialize the critic model during SELF-RAG training?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,9,3,False,44.7, The language model used to initialize the critic model during SELF-RAG training was the same one as the generator LM.,"The critic was initialized with the same language model as the generator, specifically Llama 2-7B."
SR-06,SELF-RAG,Architecture / reasoning,How does SELF-RAG differ from conventional RAG systems in deciding when to retrieve documents?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,11,3,False,62.6," SELF-RAG differs from conventional RAG systems in deciding when to retrieve documents by incorporating a model (M) that decodes a retrieval token to evaluate the utility of retrieval. If retrieval is not required, the model predicts the next output segment as it does in a standard Language Model (LM). If retrieval is needed, the model generates a critique token to evaluate the retrieved passage's relevance, the next response segment, and another critique token to evaluate if the information in ","Conventional RAG generally retrieves a fixed number of passages regardless of whether retrieval is necessary. SELF-RAG instead decides on demand, using its Retrieve reflection token to determine whether retrieved evidence would help before calling the retriever."
SR-07,SELF-RAG,Architecture / reasoning,Explain the role of the critic model in constructing the training data for the SELF-RAG generator.,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,11,4,False,60.1," The critic model in SELF-RAG plays a role in constructing the training data for the generator by predicting the next tokens from the original vocabulary as well as newly added special tokens, called reflection tokens. These reflection tokens are used to critique the text passages and the generator's own generation. The critic model helps the generator to learn to retrieve, generate, and critique text passages, and it enables the tailoring of the LM behaviors at test time by leveraging reflectio","The critic creates supervised training data that mimics SELF-RAG inference. It evaluates whether retrieval is needed, judges retrieved passages with ISREL and ISSUP, evaluates overall response utility with ISUSE, and inserts the resulting reflection tokens and retrieved passages into the training examples. The resulting augmented corpus is then used to train the generator."
SR-08,SELF-RAG,Architecture / reasoning,How does the SELF-RAG generator learn to produce both normal text and reflection tokens?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,10,3,False,89.3," The SELF-RAG generator learns to produce both normal text and reflection tokens through a training process that involves two models: the critic model (C) and the generator model (M).

1. Training the Critic Model (C): The critic model is trained on a curated corpus with interleaving passages retrieved by a retriever and reflection tokens predicted by the critic model itself. The critic model is used to annotate reflection tokens for each segment, which is expensive to do manually. The training ","The generator is trained on a curated corpus whose examples contain normal task text interleaved with retrieved passages and reflection tokens inserted offline by the trained critic. Reflection tokens are added to the model vocabulary and learned with the standard next-token prediction objective, so the generator learns to predict both normal output tokens and reflection tokens itself."
SR-09,SELF-RAG,Architecture / reasoning,What happens after the critic determines that a retrieved passage is relevant to the generated response?,None,False,,,8,10,3,False,74.0," After the critic determines that a retrieved passage is relevant to the generated response, the model generates a critique token to evaluate if the information in the response segment is supported by the passage. If the information is supported, the model generates the next response segment. If not, the model may continue to retrieve and evaluate additional passages until a supported response is generated. This process continues until the model generates a response that is deemed useful and sup","After a passage is judged relevant (ISREL), the critic evaluates whether it supports the generated response and predicts ISSUP. The model then uses ISREL, ISSUP, and ISUSE to rank candidate generations and select/guide the output."
SR-10,SELF-RAG,Figure / table understanding,"According to Figure 3(a), how does SELF-RAG perform compared with the No Retriever and No Critic variants on the reported PQA, Med and ASQA metrics?","['RAG.pdf', 'Self-RAG.pdf']",True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,10,3,False,53.6," According to the document RAG.pdf [1], SELF-RAG's performance on the PQA, Med, and ASQA metrics is not directly compared with the No Retriever and No Critic variants in Figure 3(a). The figure shows the performance of RAG-Token and RAG-Sequence models with different numbers of retrieved documents, but it does not include the No Retriever and No Critic variants.","Figure 3(a) reports SELF-RAG (50k) at PQA 45.5, Med 73.5, and ASQA 32.1. No Retriever scores 43.6, 67.8, and 31.0, while No Critic scores 42.6, 72.0, and 18.1, respectively. Thus SELF-RAG is higher than both ablations on all three reported metrics."
SR-11,SELF-RAG,Figure / table understanding,"According to Figure 3(c), what happens to retrieval frequency when the retrieval threshold is increased?",None,True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,10,2,False,46.9," The retrieval frequency dramatically changes when the retrieval threshold is increased, as shown in Figure 3(c). The model's retrieval frequencies decrease as the threshold value increases on both datasets, PubHealth and PopQA.","Increasing the retrieval threshold δ decreases retrieval frequency. The paper notes that larger δ means less retrieval; reducing retrieval causes performance deterioration, with the deterioration smaller on PubHealth and larger on PopQA."
SR-12,SELF-RAG,Figure / table understanding,"According to Figure 4, how does increasing the amount of training data affect SELF-RAG performance on PopQA, PubHealth, and ASQA?","['RAG.pdf', 'Self-RAG.pdf']",True,False,[FIGURE DIAGNOSTIC] FAIL — figure/page image was retrieved but disappeared before final context.,8,8,1,False,83.3," Increasing the amount of training data significantly improves SELF-RAG's performance on PopQA and ASQA, while no significant improvements are observed on PubHealth. This analysis is based on the training scale shown in Figure 4 from the document.","Increasing training-data size generally improves SELF-RAG performance on PopQA, PubHealth, and ASQA. The gains are especially pronounced on PopQA and ASQA, while the paper notes that Llama2-FT7B shows much smaller improvement when increasing training data from 50k to 150k."
SR-13,SELF-RAG,Deeper reasoning,Why does increasing the retrieval threshold create a trade-off between retrieval frequency and model performance?,None,False,,,8,11,3,False,122.0," Increasing the retrieval threshold creates a trade-off between retrieval frequency and model performance because, with a higher threshold, the model retrieves less often, which may lead to a decrease in the model's performance due to having fewer relevant passages to generate responses. However, on the other hand, reducing the number of retrievals can also lead to a smaller performance drop on datasets like PubHealth but a larger drop on PopQA (as shown in Figure 3c from the provided context). ","A higher retrieval threshold makes the model retrieve less often. This saves retrieval effort and reduces retrieval frequency, but fewer retrieved passages can remove useful evidence and therefore reduce answer performance. The paper observes that this performance deterioration is smaller on PubHealth and larger on PopQA."
SR-14,SELF-RAG,Deeper reasoning,Why can SELF-RAG outperform conventional retrieval-augmented models on tasks where the answer cannot simply be copied from retrieved passages?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,11,3,False,59.9," SELF-RAG can outperform conventional retrieval-augmented models on tasks where the answer cannot simply be copied from retrieved passages because it uses a self-reflection mechanism that allows the model to evaluate the relevance, support, and completeness of the generated output and the retrieved passages. This mechanism enables the model to generate more accurate and contextually appropriate responses, even when the answer cannot be directly extracted from the retrieved passages. Additionally","Conventional retrieval-augmented models can struggle on tasks where the answer cannot simply be copied or extracted from retrieved passages. SELF-RAG instead evaluates passage relevance and support, critiques its own candidate generations, and uses these reflection signals to select a generation that combines retrieved evidence with reasoning/generation rather than relying on direct copying."
