question_id,document,n_claims,nli_supported,threshold_supported,agreement_rate
SR-01,SELF-RAG,4,4,4,1.0
SR-02,SELF-RAG,3,3,3,1.0
SR-03,SELF-RAG,5,5,5,1.0
SR-04,SELF-RAG,4,3,3,1.0
SR-05,SELF-RAG,1,1,1,1.0
SR-06,SELF-RAG,5,5,5,1.0
SR-07,SELF-RAG,3,3,3,1.0
SR-08,SELF-RAG,8,8,5,0.625
SR-09,SELF-RAG,4,4,3,0.75
SR-10,SELF-RAG,2,1,2,0.5
SR-11,SELF-RAG,2,2,0,0.0
SR-12,SELF-RAG,3,2,2,0.333
SR-13,SELF-RAG,3,2,0,0.333
SR-14,SELF-RAG,3,3,2,0.667
SR-15,SELF-RAG,2,2,2,1.0
D-01,Donut,2,2,2,1.0
D-02,Donut,4,4,3,0.75
D-03,Donut,18,13,10,0.833
D-04,Donut,1,0,1,0.0
D-05,Donut,1,0,0,0.0
D-06,Donut,9,8,9,0.889
D-07,Donut,3,3,2,0.667
D-08,Donut,3,2,3,0.667
D-09,Donut,4,4,4,1.0
D-10,Donut,1,0,0,1.0
D-11,Donut,13,10,13,0.769
D-12,Donut,10,6,4,0.7
D-13,Donut,3,1,0,0.667
D-14,Donut,3,3,1,0.333
D-15,Donut,4,3,0,0.25
L1,LayoutLMv3,3,3,2,0.667
L2,LayoutLMv3,7,4,6,0.571
L3,LayoutLMv3,2,2,0,0.0
L4,LayoutLMv3,3,1,2,0.0
L5,LayoutLMv3,1,0,0,1.0
L6,LayoutLMv3,3,2,3,0.667
L7,LayoutLMv3,4,0,4,0.0
L8,LayoutLMv3,2,2,2,1.0
L9,LayoutLMv3,2,0,0,0.5
L10,LayoutLMv3,3,0,1,0.667
L11,LayoutLMv3,3,1,0,0.333
L12,LayoutLMv3,6,2,2,0.833
B1,BLIP-2,4,2,4,0.5
B2,BLIP-2,4,1,4,0.25
B3,BLIP-2,4,2,4,0.5
B4,BLIP-2,11,10,11,0.909
B5,BLIP-2,3,2,0,0.333
B6,BLIP-2,3,1,1,1.0
B7,BLIP-2,14,8,12,0.714
B8,BLIP-2,4,4,4,1.0
B9,BLIP-2,6,4,6,0.667
B10,BLIP-2,5,4,4,0.6
B11,BLIP-2,4,3,4,0.75
