question_id,document,question,ground_truth_answer,ground_truth_source,current_rag_answer
SR-01,SELF-RAG,What is the main goal of the SELF-RAG framework?,"SELF-RAG aims to improve the quality and factuality of language-model generation through on-demand retrieval and self-reflection. It trains an LM to decide when retrieval is useful, retrieve passages when needed, generate responses, and critique both retrieved evidence and its own generation using reflection tokens.",Self-RAG.pdf — Pages 1–2,"The main goal of the SELF-RAG framework is to enhance the quality and factuality of Language Models (LLMs) by using retrieval on demand and self-reflection. It trains an LM to learn to retrieve, generate, and critique text passages and its own generation by predicting the next tokens from its original vocabulary as well as newly added special tokens, called reflection tokens. SELF-RAG further enables the tailoring of LM behaviors at test time by leveraging reflection tokens. This work demonstrates that SELF-RAG significantly outperforms LLMs with more parameters or with conventional retrieval-augmented generation approaches."
SR-02,SELF-RAG,"What are the special tokens introduced by SELF-RAG called, and what is their purpose?","SELF-RAG introduces reflection tokens, divided into retrieval tokens and critique tokens. Retrieval tokens indicate whether retrieval is needed; critique tokens assess retrieved-passage relevance, support for the generated content, and overall response utility.","Self-RAG.pdf — Pages 1, 4–5","The special tokens introduced by SELF-RAG are called reflection tokens. Their purpose is to enable the model to learn to retrieve, generate, and critique text passages and its own generation by predicting the next tokens from its original vocabulary as well as these newly added special tokens. These reflection tokens further enable the tailoring of the model's behaviors at test time by leveraging them."
SR-03,SELF-RAG,How does SELF-RAG decide whether retrieval is necessary during generation?,SELF-RAG first predicts a Retrieve token from the current input and preceding generation. Retrieval is triggered when the Retrieve=Yes probability meets the chosen threshold; otherwise generation continues without retrieval.,Self-RAG.pdf — Pages 4 and 6,"SELF-RAG decides whether retrieval is necessary during generation by using a special token called ""Retrieve."" If the model determines that the sequence does not require factual grounding or may not be enhanced by knowledge retrieval, the ""Retrieve"" token is set to ""No."" If the model determines that retrieval is necessary, the ""Retrieve"" token is set to ""Yes."" The model then retrieves the top K passages, and for each passage, it further evaluates whether the passage is relevant and predicts ""Relevant"" or ""Irrelevant."" If a passage is relevant, the model further evaluates whether the passage supports the model generation and predicts ""Fully supported,"" ""Partially supported,"" or ""No support."""
SR-04,SELF-RAG,What are the three aspects of retrieved passages that the critic evaluates in the SELF-RAG framework?,"The three critique evaluations are ISREL (whether a retrieved passage is relevant), ISSUP (whether the generated statement is supported by the passage), and ISUSE (the overall usefulness/utility of the response). Strictly, ISUSE evaluates the response rather than the retrieved passage itself.",Self-RAG.pdf — Pages 4–5,"The three aspects of retrieved passages that the critic evaluates in the SELF-RAG framework are:

1. Relevance (ISREL): This evaluates whether the passage provides useful information to solve the given problem or question.

2. Support (ISSUP): This evaluates whether all the verification-worthy statements in the generated response are supported by the retrieved passage.

3. Utility (ISUSE): This evaluates the overall utility of the generated response, considering both relevance and support.

These evaluations help SELF-RAG to generate more accurate and useful responses by carefully selecting generations based on fine-grained multiple criteria."
SR-05,SELF-RAG,What language model was used to initialize the critic model during SELF-RAG training?,"The critic was initialized with the same language model as the generator, specifically Llama 2-7B.",Self-RAG.pdf — Page 5,The language model used to initialize the critic model during SELF-RAG training was the same one as the generator LM.
SR-06,SELF-RAG,How does SELF-RAG differ from conventional RAG systems in deciding when to retrieve documents?,"Conventional RAG generally retrieves a fixed number of passages regardless of whether retrieval is necessary. SELF-RAG instead decides on demand, using its Retrieve reflection token to determine whether retrieved evidence would help before calling the retriever.","Self-RAG.pdf — Pages 1–2, 6","SELF-RAG differs from conventional RAG systems in deciding when to retrieve documents by incorporating a model (M) that decodes a retrieval token to evaluate the utility of retrieval. If retrieval is not required, the model predicts the next output segment as it does in a standard Language Model (LM). If retrieval is needed, the model generates a critique token to evaluate the retrieved passage's relevance, the next response segment, and another critique token to evaluate if the information in the response segment is supported by the passage. Finally, a new critique token evaluates the overall utility of the response. This approach allows SELF-RAG to process multiple passages in parallel and use its own generated reflection tokens to enforce soft constraints or hard control over the generated task output."
SR-07,SELF-RAG,Explain the role of the critic model in constructing the training data for the SELF-RAG generator.,"The critic creates supervised training data that mimics SELF-RAG inference. It evaluates whether retrieval is needed, judges retrieved passages with ISREL and ISSUP, evaluates overall response utility with ISUSE, and inserts the resulting reflection tokens and retrieved passages into the training examples. The resulting augmented corpus is then used to train the generator.",Self-RAG.pdf — Pages 4–5,"The critic model in SELF-RAG plays a role in constructing the training data for the generator by predicting the next tokens from the original vocabulary as well as newly added special tokens, called reflection tokens. These reflection tokens are used to critique the text passages and the generator's own generation. The critic model helps the generator to learn to retrieve, generate, and critique text passages, thereby enhancing the quality and factuality of the LLMs."
SR-08,SELF-RAG,How does the SELF-RAG generator learn to produce both normal text and reflection tokens?,"The generator is trained on a curated corpus whose examples contain normal task text interleaved with retrieved passages and reflection tokens inserted offline by the trained critic. Reflection tokens are added to the model vocabulary and learned with the standard next-token prediction objective, so the generator learns to predict both normal output tokens and reflection tokens itself.",Self-RAG.pdf — Pages 4–5,"The SELF-RAG generator learns to produce both normal text and reflection tokens through a training process that involves two models: the critic model (C) and the generator model (M).

1. Training the Critic Model (C): The critic model is trained on a curated corpus with interleaving passages retrieved by a retriever and reflection tokens predicted by the critic model itself. The critic model's goal is to evaluate the utility of retrieved passages and the quality of a given task output.

2. Training the Generator Model (M): The generator model M is trained on the same curated corpus as the critic model, but it learns to predict the target output as well as the reflection tokens. During training, the retrieved text chunks are masked out for loss calculation, and the original vocabulary is expanded with a set of reflection tokens {Critique, Retrieve}. The generator model learns to generate reflection tokens by itself without relying on the critic at inference time.

In essence, the SELF-RAG generator is designed to decide when to retrieve information, evaluate the utility of retrieved passages, and generate both the response and reflection tokens for that response. This allows the model to produce more accurate and contextually relevant responses."
SR-09,SELF-RAG,What happens after the critic determines that a retrieved passage is relevant to the generated response?,"After a passage is judged relevant (ISREL), the critic evaluates whether it supports the generated response and predicts ISSUP. The model then uses ISREL, ISSUP, and ISUSE to rank candidate generations and select/guide the output.",Self-RAG.pdf — Pages 4–5,"After the critic determines that a retrieved passage is relevant to the generated response, the model generates a critique token to evaluate if the information in the response segment is supported by the passage. If the information is supported, the model generates the next response segment. If not, the model may continue to retrieve and evaluate additional passages until a supported response is generated. This process continues until the model generates a response that is deemed useful and supported by the available passages."
SR-10,SELF-RAG,"According to Figure 3(a), how does SELF-RAG perform compared with the No Retriever and No Critic variants on the reported PQA, Med and ASQA metrics?","Figure 3(a) reports SELF-RAG (50k) at PQA 45.5, Med 73.5, and ASQA 32.1. No Retriever scores 43.6, 67.8, and 31.0, while No Critic scores 42.6, 72.0, and 18.1, respectively. Thus SELF-RAG is higher than both ablations on all three reported metrics.","Self-RAG.pdf — Page 9, Figure 3(a)","According to the document RAG.pdf [1], SELF-RAG's performance on the PQA, Med, and ASQA metrics is not directly compared with the No Retriever and No Critic variants in Figure 3(a). Instead, Figure 3(a) shows the performance of RAG-Token and RAG-Sequence models as more documents are retrieved, with no specific comparison to other variants."
SR-11,SELF-RAG,"According to Figure 3(c), what happens to retrieval frequency when the retrieval threshold is increased?","Increasing the retrieval threshold δ decreases retrieval frequency. The paper notes that larger δ means less retrieval; reducing retrieval causes performance deterioration, with the deterioration smaller on PubHealth and larger on PopQA.","Self-RAG.pdf — Page 9, Figure 3(c); Page 10 discussion","The retrieval frequency dramatically changes when the retrieval threshold is increased, as shown in Figure 3(c). The model retrieves less as the threshold increases."
SR-12,SELF-RAG,"According to Figure 4, how does increasing the amount of training data affect SELF-RAG performance on PopQA, PubHealth, and ASQA?","Increasing training-data size generally improves SELF-RAG performance on PopQA, PubHealth, and ASQA. The gains are especially pronounced on PopQA and ASQA, while the paper notes that Llama2-FT7B shows much smaller improvement when increasing training data from 50k to 150k.","Self-RAG.pdf — Page 10, Figure 4(a–c)","Increasing the amount of training data significantly improves SELF-RAG's performance on PopQA and ASQA, while no significant improvements are observed on PubHealth. This information can be inferred from the context on pages 9 and 10 of the document ""Self-RAG.pdf"". The figures mentioned are not explicitly provided, but the performance analysis on different amounts of training data is described in detail."
SR-13,SELF-RAG,Why does increasing the retrieval threshold create a trade-off between retrieval frequency and model performance?,"A higher retrieval threshold makes the model retrieve less often. This saves retrieval effort and reduces retrieval frequency, but fewer retrieved passages can remove useful evidence and therefore reduce answer performance. The paper observes that this performance deterioration is smaller on PubHealth and larger on PopQA.","Self-RAG.pdf — Pages 9–10, Figure 3(c)","Increasing the retrieval threshold creates a trade-off between retrieval frequency and model performance because, with a higher threshold, the model retrieves less often, which may lead to a decrease in model performance due to less available information. However, on some datasets like PubHealth, the performance drop by retrieving less is smaller compared to others like PopQA. This information is found on page 9 of the document ""SELF-RAG.pdf"" in the context provided."
SR-14,SELF-RAG,Why can SELF-RAG outperform conventional retrieval-augmented models on tasks where the answer cannot simply be copied from retrieved passages?,"Conventional retrieval-augmented models can struggle on tasks where the answer cannot simply be copied or extracted from retrieved passages. SELF-RAG instead evaluates passage relevance and support, critiques its own candidate generations, and uses these reflection signals to select a generation that combines retrieved evidence with reasoning/generation rather than relying on direct copying.","Self-RAG.pdf — Pages 1, 8–9","SELF-RAG can outperform conventional retrieval-augmented models on tasks where the answer cannot simply be copied from retrieved passages because it uses a self-reflection mechanism that allows the model to evaluate the relevance, support, and completeness of the generated output and the retrieved passages. This mechanism enables the model to make more informed decisions about when and how to use the retrieved passages, resulting in more accurate and relevant responses. In contrast, conventional retrieval-augmented models may indiscriminately use retrieved passages without ensuring complete support from the cited sources, leading to less accurate and relevant responses."
SR-15,SELF-RAG,"According to the paper's human evaluation, what do the S&P, ISREL, and ISSUP evaluations tell us about the quality and grounding of SELF-RAG outputs?","S&P measures whether an output is plausible/reasonable and supported by sufficient evidence. ISREL measures whether the cited/retrieved passage is relevant to the question, and ISSUP measures whether the generated claim is supported by that passage. In the human evaluation, PopQA achieved S&P 92.5%, ISREL 95.0%, and ISSUP 90.0%; Bio achieved 70.0%, 90.0%, and 85.0%, respectively. The authors conclude that outputs are often plausible and supported and that ISREL/ISSUP reflection predictions mostly align with human judgments.","Self-RAG.pdf — Page 10, Figure 4(d); Page 21/Table 6","The S&P, ISREL, and ISSUP evaluations indicate that the quality and grounding of SELF-RAG outputs are Supported and Plausible, as the model's responses are correct and fully supported by the provided reference. The ISREL and ISSUP evaluations are specifically relevant and fully supported, while the ISUSE evaluation is 5."
D-01,Donut,"What does the name Donut stand for, and what problem is the model designed to solve?","Donut stands for **Document understanding transformer**. It is an OCR-free, end-to-end Visual Document Understanding (VDU) model designed to map a raw document image directly to a desired structured output without relying on an external OCR system.","Donut.pdf, pp. 2–4","The name Donut stands for ""Document Understanding Transformer"". The model is designed to solve the problem of visual document understanding without relying on OCR (Optical Character Recognition) and can be trained in an end-to-end manner."
D-02,Donut,What are the main problems associated with OCR-dependent Visual Document Understanding methods?,"The paper identifies three major problems with OCR-dependent VDU: high computational cost for OCR, inflexibility across languages and document/domain changes, and propagation of OCR errors into downstream VDU processing. The paper also discusses poor OCR quality for complex scripts such as Korean and Chinese and the added size/maintenance cost of post-OCR correction.","Donut.pdf, pp. 2–3","The main problems associated with OCR-dependent Visual Document Understanding (VDU) methods, as per the provided context, are:

1. High computational costs due to the use of OCR.
2. Inflexibility of OCR models on languages or types of documents.
3. OCR error propagation to the subsequent process.

These issues are addressed by the proposed OCR-free Document Understanding Transformer model, which aims to model a direct mapping from a raw input image to the desired output without relying on OCR."
