question_id,document,claim_id,claim_text,nli_status,nli_label,nli_confidence,nli_citation,threshold_status,threshold_confidence,threshold_citation,agree
SR-01,SELF-RAG,1,The main goal of the SELF-RAG framework is to enhance the quality and factuality of Language Models (LLMs) by using retrieval on demand and self-reflection.,SUPPORTED,ENTAILMENT,0.8384,Self-RAG.pdf (Page 1),SUPPORTED,0.864,Self-RAG.pdf (Page 1),True
SR-01,SELF-RAG,2,"It trains an LM to learn to retrieve, generate, and critique text passages and its own generation by predicting the next tokens from its original vocabulary as well as newly added special tokens, called reflection tokens.",SUPPORTED,ENTAILMENT,0.6855,Self-RAG.pdf (Page 2),SUPPORTED,1.0,Self-RAG.pdf (Page 10),True
SR-01,SELF-RAG,3,SELF-RAG further enables the tailoring of LM behaviors at test time by leveraging reflection tokens.,SUPPORTED,ENTAILMENT,0.8052,Self-RAG.pdf (Page 10),SUPPORTED,1.0,Self-RAG.pdf (Page 10),True
SR-01,SELF-RAG,4,This work demonstrates that SELF-RAG significantly outperforms LLMs with more parameters or with conventional retrieval-augmented generation approaches.,SUPPORTED,ENTAILMENT,0.8755,Self-RAG.pdf (Page 1),SUPPORTED,0.944,Self-RAG.pdf (Page 2),True
SR-02,SELF-RAG,1,The special tokens introduced by SELF-RAG are called reflection tokens.,SUPPORTED,ENTAILMENT,0.5649,Self-RAG.pdf (Page 10),SUPPORTED,0.9,Self-RAG.pdf (Page 1),True
SR-02,SELF-RAG,2,"Their purpose is to enable the model to learn to retrieve, generate, and critique text passages and its own generation by predicting the next tokens from its original vocabulary as well as these newly added special tokens.",SUPPORTED,ENTAILMENT,0.6597,Self-RAG.pdf (Page 2),SUPPORTED,0.933,Self-RAG.pdf (Page 10),True
SR-02,SELF-RAG,3,These reflection tokens further enable the tailoring of the model's behaviors at test time by leveraging them.,SUPPORTED,ENTAILMENT,0.7671,Self-RAG.pdf (Page 10),SUPPORTED,0.882,Self-RAG.pdf (Page 10),True
SR-03,SELF-RAG,1,"SELF-RAG decides whether retrieval is necessary during generation by using a special token called ""Retrieve.""",SUPPORTED,ENTAILMENT,0.666,Self-RAG.pdf (Page 2),SUPPORTED,0.938,Self-RAG.pdf (Page 1),True
SR-03,SELF-RAG,2,"If the model determines that the sequence does not require factual grounding or may not be enhanced by knowledge retrieval, the ""Retrieve"" token is set to ""No.""",SUPPORTED,ENTAILMENT,0.6987,Self-RAG.pdf (Page 2),SUPPORTED,0.792,Self-RAG.pdf (Page 1),True
SR-03,SELF-RAG,3,"If the model determines that retrieval is necessary, the ""Retrieve"" token is set to ""Yes.""",SUPPORTED,ENTAILMENT,0.6577,Self-RAG.pdf (Page 4),SUPPORTED,0.923,Self-RAG.pdf (Page 1),True
SR-03,SELF-RAG,4,"The model then retrieves the top K passages, and for each passage, it further evaluates whether the passage is relevant and predicts ""Relevant"" or ""Irrelevant.""",SUPPORTED,ENTAILMENT,0.6831,Self-RAG.pdf (Page 2),SUPPORTED,0.8,Self-RAG.pdf (Page 5),True
SR-03,SELF-RAG,5,"If a passage is relevant, the model further evaluates whether the passage supports the model generation and predicts ""Fully supported,"" ""Partially supported,"" or ""No support.""",SUPPORTED,ENTAILMENT,0.6699,Self-RAG.pdf (Page 2),SUPPORTED,0.85,Self-RAG.pdf (Page 4),True
SR-04,SELF-RAG,1,"The three aspects of retrieved passages that the critic evaluates in the SELF-RAG framework are:
Relevance (ISREL): This evaluates whether the passage provides useful information to solve the given problem or question.",SUPPORTED,ENTAILMENT,0.8237,Self-RAG.pdf (Page 2),SUPPORTED,0.786,Self-RAG.pdf (Page 4),True
SR-04,SELF-RAG,2,Support (ISSUP): This evaluates whether all the verification-worthy statements in the generated response are supported by the retrieved passage.,SUPPORTED,ENTAILMENT,0.6978,Self-RAG.pdf (Page 4),SUPPORTED,0.833,Self-RAG.pdf (Page 4),True
SR-04,SELF-RAG,3,"This evaluates the overall utility of the generated response, considering both relevance and support.",SUPPORTED,ENTAILMENT,0.7764,Self-RAG.pdf (Page 4),SUPPORTED,0.769,Self-RAG.pdf (Page 4),True
SR-04,SELF-RAG,4,These evaluations help SELF-RAG to generate more accurate and useful responses by carefully selecting generations based on fine-grained multiple criteria.,PARTIALLY_SUPPORTED,NEUTRAL,0.9722,Self-RAG.pdf (Page 9),PARTIALLY_SUPPORTED,0.545,Self-RAG.pdf (Page 9),True
SR-05,SELF-RAG,1,The language model used to initialize the critic model during SELF-RAG training was the same one as the generator LM.,SUPPORTED,ENTAILMENT,0.6646,Self-RAG.pdf (Page 2),SUPPORTED,0.765,Self-RAG.pdf (Page 2),True
SR-06,SELF-RAG,1,SELF-RAG differs from conventional RAG systems in deciding when to retrieve documents by incorporating a model (M) that decodes a retrieval token to evaluate the utility of retrieval.,SUPPORTED,ENTAILMENT,0.8799,Self-RAG.pdf (Page 4),SUPPORTED,0.8,Self-RAG.pdf (Page 4),True
SR-06,SELF-RAG,2,"If retrieval is not required, the model predicts the next output segment as it does in a standard Language Model (LM).",SUPPORTED,ENTAILMENT,0.6763,Self-RAG.pdf (Page 2),SUPPORTED,0.947,Self-RAG.pdf (Page 4),True
SR-06,SELF-RAG,3,"If retrieval is needed, the model generates a critique token to evaluate the retrieved passage's relevance, the next response segment, and another critique token to evaluate if the information in the response segment is supported by the passage.",SUPPORTED,ENTAILMENT,0.6284,Self-RAG.pdf (Page 2),SUPPORTED,0.96,Self-RAG.pdf (Page 4),True
SR-06,SELF-RAG,4,"Finally, a new critique token evaluates the overall utility of the response.",SUPPORTED,ENTAILMENT,0.728,Self-RAG.pdf (Page 2),SUPPORTED,1.0,Self-RAG.pdf (Page 4),True
SR-06,SELF-RAG,5,This approach allows SELF-RAG to process multiple passages in parallel and use its own generated reflection tokens to enforce soft constraints or hard control over the generated task output.,SUPPORTED,ENTAILMENT,0.729,Self-RAG.pdf (Page 2),SUPPORTED,0.821,Self-RAG.pdf (Page 4),True
